description,revenue
GROW YOUR OWN PLANT IN A CAN ,10326.56
72 SWEETHEART FAIRY CAKE CASES,10200.32
IVORY KITCHEN SCALES,10158.35
DOOR MAT SPOTTY HOME SWEET HOME,10129.18
BAKING SET SPACEBOY DESIGN,10124.22
VINTAGE SNAP CARDS,10011.369999999999
FELTCRAFT CUSHION BUTTERFLY,9931.2
DOOR MAT 3 SMILEY CATS,9890.17
GREY HEART HOT WATER BOTTLE,9841.47
PINK HEART SHAPE EGG FRYING PAN,9784.95
SINGLE HEART ZINC T-LIGHT HOLDER,9778.43
DOOR MAT HEARTS,9774.98
PAPER CHAIN KIT EMPIRE,9747.550000000001
15CM CHRISTMAS GLASS BALL 20 LIGHTS,9717.0
ASSORTED COLOUR MINI CASES,9707.43
PAINTED METAL PEARS ASSORTED,9678.06
HANGING HEART JAR T-LIGHT HOLDER,9646.34
3 HOOK PHOTO SHELF ANTIQUE WHITE,9619.64
POTTERING IN THE SHED METAL SIGN,9605.119999999999
WOODEN ROUNDERS GARDEN SET ,9576.13
WOODEN SKITTLES GARDEN SET,9513.59
CAKE STAND 3 TIER MAGIC GARDEN,9484.199999999999
GUMBALL COAT RACK,9471.18
RED SPOTTY BISCUIT TIN,9442.75
FELTCRAFT BUTTERFLY HEARTS,9374.75
DOOR MAT ENGLISH ROSE ,9364.42
MULTI COLOUR SILVER T-LIGHT HOLDER,9346.67
HEART FILIGREE DOVE LARGE,9296.85
RED RETROSPOT JUMBO BAG ,9291.3
HAND WARMER UNION JACK,9257.400000000001
DOORMAT NEW ENGLAND,9253.08
PLASTERS IN TIN WOODLAND ANIMALS,9241.8
FELTCRAFT CUSHION RABBIT,9197.85
CHILDS BREAKFAST SET DOLLY GIRL ,9043.35
WOODEN SCHOOL COLOURING SET,9009.45
PACK OF 60 DINOSAUR CAKE CASES,9006.529999999999
BAG 250g SWIRLY MARBLES,8981.7
VINTAGE UNION JACK DOORSTOP,8886.43
CHICK GREY HOT WATER BOTTLE,8882.550000000001
SET/3 RUSSIAN DOLL STACKING TINS,8864.300000000001
HOME SWEET HOME MUG,8856.0
BROCADE RING PURSE ,8847.66
FELTCRAFT DOLL ROSIE,8779.79
PLASTERS IN TIN STRONGMAN,8778.0
LUNCH BOX I LOVE LONDON,8766.6
CHILDS BREAKFAST SET SPACEBOY ,8706.05
PLASTERS IN TIN VINTAGE PAISLEY ,8663.9
FAMILY ALBUM WHITE PICTURE FRAME,8624.1
PICTURE FRAME WOOD TRIPLE PORTRAIT,8516.75
RED SPOTTY CHARLOTTE BAG,8499.85
RETROSPOT HEART HOT WATER BOTTLE,8465.25
CHILDS BREAKFAST SET CIRCUS PARADE,8444.28
HOT WATER BOTTLE I AM SO POORLY,8419.35
FILIGRIS HEART WITH BUTTERFLY,8415.01
TOY TIDY PINK RETROSPOT  ,8403.6
METAL SIGN TAKE IT OR LEAVE IT ,8398.62
WOODEN UNION JACK BUNTING,8393.85
LIGHT PINK CHERRY LIGHTS,8311.0
SWEETHEART KEY CABINET,8302.95
LARGE POPCORN HOLDER ,8302.05
HAND WARMER RED RETROSPOT,8241.900000000001
ROSES REGENCY TEACUP AND SAUCER ,8230.400000000001
TEA TIME KITCHEN APRON,8222.0
ANTIQUE SILVER TEA GLASS ENGRAVED,8203.66
DOORMAT FAIRY CAKE,8135.51
CHRISTMAS LIGHTS 10 REINDEER,8129.400000000001
PICNIC BASKET WICKER LARGE,8124.599999999999
RECIPE BOX WITH METAL HEART,8117.7
WHITE SKULL HOT WATER BOTTLE ,8091.48
FELTCRAFT CUSHION OWL,8065.41
RED KITCHEN SCALES,8030.8
CLASSIC METAL BIRDCAGE PLANT HOLDER,8023.65
PHARMACIE FIRST AID TIN,8014.84
TRADITIONAL MODELLING CLAY,7967.67
SET/6 RED SPOTTY PAPER PLATES,7958.65
WOODLAND CHARLOTTE BAG,7958.35
VINTAGE POST OFFICE CABINET,7954.87
RED WHITE SCARF  HOT WATER BOTTLE,7933.900000000001
WOODEN HAPPY BIRTHDAY GARLAND,7933.750000000001
EDWARDIAN PARASOL PINK,7887.05
RED/WHITE DOT MINI CASES,7883.599999999999
PACK OF 12 SUKI TISSUES ,7857.82
DOOR MAT WELCOME PUPPIES,7842.59
SET/10 RED SPOTTY PARTY CANDLES,7838.16
BEWARE OF THE CAT METAL SIGN ,7789.83
DOORMAT WELCOME PUPPIES,7757.16
WHITE DOVE HONEYCOMB PAPER GARLAND,7737.3
DOORMAT RED RETROSPOT,7734.6
WHITE WIRE EGG HOLDER,7732.900000000001
FELTCRAFT DOLL MOLLY,7717.4400000000005
RED SPOTTY SHOPPER BAG,7713.2
RETRO SPOT LARGE MILK JUG,7665.55
WOODEN BOX OF DOMINOES,7661.17
DOORMAT SPOTTY HOME SWEET HOME,7655.3
PICNIC BASKET WICKER SMALL,7651.400000000001
POTTING SHED TEA MUG,7618.2
GLITTER BUTTERFLY CLIPS,7597.05
WHITE WOOD GARDEN PLANT LADDER,7571.849999999999
BABUSHKA LIGHTS STRING OF 10,7453.75
TRAVEL SEWING KIT,7451.95
ENAMEL BREAD BIN CREAM,7445.25
CREAM SWEETHEART WALL CABINET,7436.21
DOOR MAT FANCY FONT HOME SWEET HOME,7415.39
FIRST AID TIN,7402.0
AFGHAN SLIPPER SOCK PAIR,7388.65
WOODEN ADVENT CALENDAR CREAM,7367.099999999999
SET 3 WICKER LOG BASKETS,7360.05
RIBBON REEL STRIPES DESIGN ,7355.65
WEEKEND BAG VINTAGE ROSE PAISLEY,7349.950000000001
"RECORD FRAME 7"" SINGLE SIZE ",7338.3
RETROSPOT TEA SET CERAMIC 11 PC ,7336.150000000001
TEA TIME TEA TOWELS ,7321.300000000001
RED GINGHAM ROSE JEWELLERY BOX,7315.349999999999
PINK DOUGHNUT TRINKET POT ,7308.0
3 STRIPEY MICE FELTCRAFT,7296.95
TEA TIME TABLE CLOTH,7274.1
SET/2 RED SPOTTY TEA TOWELS ,7239.900000000001
DOORMAT AIRMAIL ,7189.35
RETRO SPOT TRADITIONAL TEAPOT ,7164.900000000001
DOORMAT ENGLISH ROSE ,7157.09
RED RETROSPOT PICNIC BAG,7147.35
DOORMAT 3 SMILEY CATS,7123.72
STRAWBERRY FAIRY CAKE TEAPOT,7077.650000000001
DOORMAT RED SPOT,7050.21
SET/6 PINK  BUTTERFLY T-LIGHTS,6984.500000000001
SET/10 PINK SPOTTY PARTY CANDLES,6970.38
HANGING METAL HEART LANTERN,6958.650000000001
SET OF 36 TEATIME PAPER DOILIES,6950.15
RECIPE BOX PANTRY YELLOW DESIGN,6945.1
DOOR MAT BLACK FLOCK ,6937.88
CERAMIC STRAWBERRY CAKE MONEY BANK,6932.349999999999
PACK OF 6 PANNETONE GIFT BOXES,6903.450000000001
"ASSORTED FLOWER COLOUR ""LEIS""",6892.87
METAL 4 HOOK HANGER FRENCH CHATEAU,6885.55
GLITTER HANGING BUTTERFLY STRING,6878.7
SMALL FAIRY CAKE FRIDGE MAGNETS,6875.0
WHITE SPOT RED CERAMIC DRAWER KNOB,6847.33
MA CAMPAGNE CUTLERY BOX,6835.95
DOORMAT TOPIARY,6831.88
TOY TIDY SPACEBOY  ,6828.05
VINTAGE SNAKES & LADDERS,6814.44
CREAM SWEETHEART LETTER RACK,6810.42
YOU'RE CONFUSING ME METAL SIGN ,6806.14
TWO DOOR CURIO CABINET,6798.45
FRYING PAN UNION FLAG,6792.0
KINGS CHOICE BISCUIT TIN,6787.99
CREAM SWEETHEART TRAYS,6785.5
SET 10 LIGHTS NIGHT OWL,6769.45
GREEN 3 PIECE MINI DOTS CUTLERY SET,6766.29
SOMBRERO ,6728.15
STRAWBERRY LUNCH BOX WITH CUTLERY,6719.55
NOEL WOODEN BLOCK LETTERS ,6709.750000000001
JUMBO BAG PINK POLKADOT,6677.55
FELTCRAFT DOLL EMILY,6651.51
OPEN CLOSED METAL SIGN,6640.200000000001
SET3 BOOK BOX GREEN GINGHAM FLOWER ,6633.5
COFFEE MUG CAT + BIRD DESIGN,6633.450000000001
"SET 3 RED SPOT TIN TEA,COFFEE,SUGAR",6624.9
PINK/BROWN DOTS RUFFLED UMBRELLA,6613.55
VICTORIAN SEWING BOX SMALL ,6596.25
SET OF 2 WOODEN MARKET CRATES,6595.349999999999
DOORMAT RESPECTABLE HOUSE,6595.1
SAVE THE PLANET MUG,6570.6
RED SPOTTY COIR DOORMAT,6545.5
PINK PARTY BAGS,6523.66
SET OF 20 KIDS COOKIE CUTTERS,6511.8
CLOTHES PEGS RETROSPOT PACK 24 ,6483.63
SET OF 36 PAISLEY FLOWER DOILIES,6436.799999999999
PAPER BUNTING COLOURED LACE,6430.35
DOOR MAT TOPIARY,6428.79
FELTCRAFT CHRISTMAS FAIRY,6419.5
PACK OF 60 SPACEBOY CAKE CASES,6418.299999999999
RETROSPOT CHILDRENS APRON,6412.65
GREEN REGENCY TEACUP AND SAUCER,6385.250000000001
BINGO SET,6339.24
WHITE SPOT BLUE CERAMIC DRAWER KNOB,6337.4800000000005
GARDENERS KNEELING PAD,6337.33
AREA PATROLLED METAL SIGN,6323.780000000001
POLKADOT CUTLERY 24 PCS IN TRAY,6307.15
BOX OF VINTAGE JIGSAW BLOCKS ,6297.85
SET OF 3 HEART COOKIE CUTTERS,6281.0
DOOR MAT MULTICOLOUR STRIPE,6278.18
COFFEE MUG DOG + BALL DESIGN,6234.150000000001
FAIRY CAKE FLANNEL ASSORTED COLOUR,6229.95
STRAWBERRY CHARLOTTE BAG,6229.05
COOKING SET RETROSPOT,6226.98
S/6 WOODEN SKITTLES IN COTTON BAG,6226.85
ENAMEL FLOWER JUG CREAM,6222.650000000001
DELUXE SEWING KIT ,6221.400000000001
STRAWBERRY   PICNIC BAG,6195.55
WICKER STAR ,6183.900000000001
FOLKART ZINC HEART CHRISTMAS DEC,6161.78
LUNCH BOX WITH CUTLERY RETROSPOT ,6157.8
RED RETROSPOT SMALL MILK JUG,6139.05
CARRIAGE,6110.0
CREAM SWEETHEART SHELF + HOOKS,6105.51
LARGE CIRCULAR MIRROR MOBILE,6096.45
COFFEE MUG APPLES DESIGN,6088.950000000001
ALARM CLOCK BAKELIKE RED ,6067.89
INFLATABLE POLITICAL GLOBE ,6061.97
BLUE STRIPE CERAMIC DRAWER KNOB,6054.56
SET OF 3 NOTEBOOKS IN PARCEL,6049.35
WHITE BEADED GARLAND STRING 20LIGHT,6036.75
PINK FAIRY CAKE CHILD'S APRON,6036.21
VICTORIAN SEWING BOX MEDIUM,6029.75
CANDLEHOLDER PINK HANGING HEART,5996.72
CAMOUFLAGE LED TORCH,5995.530000000001
SET OF 20 VINTAGE CHRISTMAS NAPKINS,5995.3
ENCHANTED BIRD COATHANGER 5 HOOK,5981.34
DOORMAT BLACK FLOCK ,5975.56
PACK OF 12 HEARTS DESIGN TISSUES ,5941.23
SET/10 BLUE SPOTTY PARTY CANDLES,5926.35
MINT KITCHEN SCALES,5926.2
PACK OF 12 RED SPOTTY TISSUES ,5923.089999999999
PACK OF 12 PINK PAISLEY TISSUES ,5918.099999999999
MOROCCAN TEA GLASS,5872.21
SET/5 RED RETROSPOT LID GLASS BOWLS,5865.6
CAKE STAND WHITE TWO TIER LACE,5863.3
BLUE HARMONICA IN BOX ,5856.09
PLASTERS IN TIN SKULLS,5851.8
SET OF 6 SOLDIER SKITTLES,5845.8
RED SPOT CERAMIC DRAWER KNOB,5840.07
PACK OF 72 RETROSPOT CAKE CASES,5819.73
I CAN ONLY PLEASE ONE PERSON MUG,5803.42
SET/3 RED GINGHAM ROSE STORAGE BOX,5794.14
PARTY METAL SIGN ,5790.299999999999
DOORMAT HOME SWEET HOME BLUE ,5788.62
RETRO RED SPOTTY WASHING UP GLOVES,5749.56
ADVENT CALENDAR GINGHAM SACK,5746.900000000001
I'M ON HOLIDAY METAL SIGN,5742.6
NATURAL SLATE RECTANGLE CHALKBOARD,5719.65
GAOLERS KEYS DECORATIVE GARDEN ,5698.46
WHITE CHERRY LIGHTS,5687.5
PINK REGENCY TEACUP AND SAUCER,5675.200000000001
SET/6 RED SPOTTY PAPER CUPS,5657.21
LOVE LARGE WOOD LETTERS ,5632.35
FOOD CONTAINER SET 3 LOVE HEART ,5606.4
RED RETROSPOT MUG,5605.8
VINTAGE BLUE KITCHEN CABINET,5605.0
FULL ENGLISH BREAKFAST PLATE,5562.84
WALL MOUNTED VINTAGE ORGANISER,5507.74
SMALL CHINESE STYLE SCISSOR,5503.22
TEA BAG PLATE RED SPOTTY ,5500.27
IVORY HANGING DECORATION  HEART,5498.69
PAPER BUNTING VINTAGE PAISLEY,5470.200000000001
60 CAKE CASES VINTAGE CHRISTMAS,5466.72
PACK 3 BOXES CHRISTMAS PANNETONE,5458.799999999999
RETRO COFFEE MUGS ASSORTED,5436.37
PACK OF 12 WOODLAND TISSUES ,5416.5
CHARLOTTE BAG SUKI DESIGN,5393.25
LARGE RED SPOT WINDMILL,5390.4
CAKE STAND LOVEBIRD 2 TIER PINK,5384.55
CHRISTMAS LIGHTS 10 VINTAGE BAUBLES,5381.150000000001
LAVENDER SCENTED FABRIC HEART,5360.15
RED STRIPE CERAMIC DRAWER KNOB,5357.97
VICTORIAN  METAL POSTCARD SPRING,5326.88
SET OF 3 CASES WOODLAND DESIGN,5304.6
TRADITIONAL WOODEN CATCH CUP GAME ,5302.67
SET OF 72 PINK HEART PAPER DOILIES,5285.969999999999
PAPER CHAIN KIT SKULLS ,5259.85
DOORMAT UNION JACK GUNS AND ROSES,5253.88
RIBBON REEL LACE DESIGN ,5251.4
FAIRY CAKE CANDLES,5244.02
GLASS CAKE COVER AND PLATE,5242.65
ROUND CONTAINER SET OF 5 RETROSPOT,5242.3
KINGS CHOICE MUG,5241.86
ZINC FOLKART SLEIGH BELLS,5220.59
KINGS CHOICE TEA CADDY ,5212.85
SET OF THREE VINTAGE GIFT WRAPS,5204.099999999999
SET OF 3 BUTTERFLY COOKIE CUTTERS,5201.4
MINI WOODEN HAPPY BIRTHDAY GARLAND,5183.72
ROUND SNACK BOXES SET OF 4 SKULLS,5179.55
CHRISTMAS LIGHTS 10 SANTAS ,5169.7
RED SPOTTY BOWL,5147.12
LUNCH BAG DOLLY GIRL DESIGN,5129.3
RETRO SPORT PARTY BAG + STICKER SET,5128.75
PLACE SETTING WHITE HEART,5127.0599999999995
SUKI  SHOULDER BAG,5118.25
RED SPOTS  WRAP ,5115.5
COFFEE MUG PEARS  DESIGN,5101.41
GLASS HONEYPOT WASP CATCHER,5100.45
MINI CAKE STAND  HANGING STRAWBERY,5099.15
PINK FAIRY CAKE CHILDRENS APRON,5097.9
BLUE SPOT CERAMIC DRAWER KNOB,5049.96
HAND WARMER BABUSHKA DESIGN,5047.200000000001
ALARM CLOCK BAKELIKE GREEN,5019.81
RED SPOTTY PLATE ,5015.91
10 COLOUR SPACEBOY PEN,5002.13
12 PENCILS SMALL TUBE RED SPOTTY,5001.95
WOOLLY HAT SOCK GLOVE ADVENT STRING,5001.750000000001
PINK FLORAL FELTCRAFT SHOULDER BAG,4985.64
COSY HOUR GIANT TUBE MATCHES,4981.8
6 EGG HOUSE PAINTED WOOD,4949.95
CARD HOLDER GINGHAM HEART,4929.6
RIBBON REEL HEARTS DESIGN ,4916.2
CARDHOLDER HOLLY WREATH METAL,4915.77
CHRISTMAS GINGHAM HEART,4897.48
BOYS VINTAGE TIN SEASIDE BUCKET,4896.8099999999995
LUNCH BAG RED RETROSPOT,4891.95
GINGHAM HEART  DOORSTOP RED,4889.88
HAND WARMER RED POLKA DOT,4876.2
RED SPOTTY PEG BAG,4864.92
FAIRY TALE COTTAGE NIGHTLIGHT,4856.25
GIRLS VINTAGE TIN SEASIDE BUCKET,4855.62
GLASS  BEURRE DISH,4834.88
KASHMIR FOLKART TUMBLERS,4829.92
CORONA MEXICAN TRAY,4789.95
ANT WHITE WIRE HEART SPIRAL,4788.4
PICTURE DOMINOES,4786.95
BATH BUILDING BLOCK WORD,4774.05
CIRCUS PARADE LUNCH BOX ,4768.65
PACK 20 ENGLISH ROSE PAPER NAPKINS,4766.7
SET/3 VANILLA SCENTED CANDLE IN BOX,4764.44
CAKE STAND LOVEBIRD 2 TIER WHITE,4750.45
WASHROOM METAL SIGN,4747.54
FELTCRAFT PRINCESS CHARLOTTE DOLL,4745.07
ASSTD DESIGN RACING CAR PEN,4743.69
WHEELBARROW FOR CHILDREN ,4739.969999999999
SKULLS PARTY BAG + STICKER SET,4734.349999999999
TRADITIONAL WOODEN SKIPPING ROPE,4726.0599999999995
"HOOK, 5 HANGER ,MAGIC TOADSTOOL RED",4725.45
VINTAGE RED KITCHEN CABINET,4720.0
RETRO SPOT LAMP,4718.9
LARGE HEART MEASURING SPOONS,4707.0
SET/6 TURQUOISE BUTTERFLY T-LIGHTS,4690.7300000000005
PACK OF 60 MUSHROOM CAKE CASES,4690.3
VINYL RECORD FRAME SILVER,4648.59
FOUR HOOK  WHITE LOVEBIRDS,4646.04
JUMBO BAG CHARLIE AND LOLA TOYS,4640.15
ASSTD DESIGN BUBBLE GUM RING,4634.7
CERAMIC CAKE BOWL + HANGING CAKES,4634.25
PARTY CONE CHRISTMAS DECORATION ,4632.21
CHARLIE + LOLA RED HOT WATER BOTTLE,4621.2
AGED GLASS SILVER T-LIGHT HOLDER,4614.1
LOVE GARLAND PAINTED ZINC ,4601.4
RED FLORAL FELTCRAFT SHOULDER BAG,4601.1
"HOOK, 5 HANGER , MAGIC TOADSTOOL",4589.25
DOOR MAT UNION JACK GUNS AND ROSES,4569.76
PINK 3 PIECE POLKADOT CUTLERY SET,4569.4800000000005
WELCOME  WOODEN BLOCK LETTERS,4542.13
DOORMAT MULTICOLOUR STRIPE,4527.75
DOORSTOP RETROSPOT HEART,4517.79
RED SPOTTY CHILDS APRON,4490.4
ENGLISH ROSE DESIGN PEG BAG,4489.28
CREAM SWEETHEART MAGAZINE RACK,4489.15
CERAMIC BOWL WITH STRAWBERRY DESIGN,4476.150000000001
KINGS CHOICE GIANT TUBE MATCHES,4471.650000000001
RED SPOTTY CHILDS UMBRELLA,4467.75
S/4 BLUE ROUND DECOUPAGE BOXES,4448.09
FRYING PAN RED POLKADOT ,4447.21
CAKE STAND LACE WHITE,4415.25
RED RETROSPOT UMBRELLA,4405.85
CERAMIC CAKE DESIGN SPOTTED MUG,4400.61
PIGGY BANK RETROSPOT ,4399.95
ENGLISH ROSE DESIGN QUILTED THROW,4391.1
WOODEN REGATTA BUNTING,4377.6
FELTCRAFT PRINCESS LOLA DOLL,4328.82
PACK OF 20 SKULL PAPER NAPKINS,4322.5
METAL MERRY CHRISTMAS WREATH,4319.7
SET OF 12 ROSE BOTANICAL T-LIGHTS,4314.0
GIRLS ALPHABET IRON ON PATCHES ,4311.57
LOVEBIRD HANGING DECORATION WHITE ,4309.93
CERAMIC HEART FAIRY CAKE MONEY BANK,4306.7
RED SPOTTY APRON ,4298.25
PINK  SPOTTY PLATE ,4296.66
BOX OF 24 COCKTAIL PARASOLS,4290.68
ORGANISER WOOD ANTIQUE WHITE ,4280.0
MAN FLU METAL SIGN,4268.400000000001
JUMBO BAG DOLLY GIRL DESIGN,4241.4
ROSE CARAVAN DOORSTOP,4240.3
WRAP PINK FAIRY CAKES ,4238.12
BOTTLE BAG RETROSPOT ,4234.6
PICCADILLY TEA SET,4227.5
SWEETHEART CAKESTAND 3 TIER,4206.55
CACTI T-LIGHT CANDLES,4197.3
TEA TIME TEAPOT IN GIFT BOX,4194.11
LARGE CAKE STAND HANGING HEARTS,4194.07
